time_value,(Multiple Items),,,,,,,,,,,
Row Labels,Sum of kayitli_secmen,Sum of oy_kullanan_kayitli_secmen,Sum of kullanilan_toplam_oy,Sum of gecerli_oy,Sum of akp_oy,Sum of chp_oy,Sum of mhp_oy,Sum of bdp_oy,Sum of hdp_oy,,Katılım,Geçersiz oran
ADANA,1456222,1287027,1287027,1234929,393929,306585,413997,0,90605,,0.88381235828053695,0.95952066273667913
ADIYAMAN,140190,120853,120853,116499,65777,25390,14897,6247,0,,0.86206576788643985,0.96397276029556567
AFYONKARAHISAR,133198,122873,122873,118159,58276,6212,50403,0,0,,0.92248382107839455,0.96163518429598038
AGRI,59320,47095,47095,45102,20590,365,841,20600,0,,0.79391436277815242,0.95768128251406726
AKSARAY,123571,106361,106361,102655,58392,6685,35178,0,0,,0.86072784067459196,0.96515640131251113
AMASYA,66675,60791,60791,58694,25508,9813,21348,0,158,,0.91175103112110989,0.96550476221809145
ANKARA,3607785,3284944,3284944,3160950,1416826,1385089,245616,0,27522,,0.91051545477349671,0.96225384664091684
ANTALYA,1513972,1362451,1362451,1308405,476474,453154,318515,0,30215,,0.89991822834239998,0.96033178440912736
ARDAHAN,12230,10383,10383,9857,3375,3320,685,1062,0,,0.84897792313982012,0.94934026774535296
ARTVIN,17727,15928,15928,15367,7104,5673,2167,0,0,,0.89851638743160156,0.96477900552486184
AYDIN,752729,684481,684481,651353,189898,285250,140354,0,20264,,0.9093325752030279,0.95160128623000495
BALIKESIR,885884,809612,809612,775268,308115,196161,245244,0,6211,,0.91390294891882007,0.95757968014308092
BARTIN,43332,38234,38234,36826,9823,9043,16888,0,0,,0.88235022616080494,0.96317413820160069
BATMAN,205100,171508,171508,163499,50563,1188,881,91383,0,,0.8362164797659678,0.95330246985563361
BAYBURT,24057,20734,20734,20128,10484,193,7703,0,0,,0.86186972606725698,0.97077264396643193
BILECIK,34040,30995,30995,29983,11894,8342,9114,0,0,,0.91054641598119856,0.9673495725116954
BINGOL,61567,51809,51809,49233,28710,301,773,12758,0,,0.84150600159176181,0.95027890906985268
BITLIS,27556,23254,23254,21962,8863,212,336,9700,0,,0.84388155029757583,0.94443966629397091
BOLU,96583,87788,87788,84669,41999,31954,8418,0,287,,0.90893842601700092,0.96447122613569047
BURDUR,52060,48112,48112,46474,16307,20632,8082,0,160,,0.92416442566269685,0.96595443964083805
BURSA,1982143,1798823,1798823,1721406,852566,494617,264230,0,28901,,0.90751424089987454,0.95696241375610602
CANAKKALE,81957,73187,73187,70728,25382,38447,5199,0,795,,0.89299266688629408,0.96640113681391504
CANKIRI,50463,45455,45455,43356,23528,573,18067,0,0,,0.90075897192002063,0.95382246177538221
CORUM,165110,147100,147100,142216,72117,48888,16752,0,493,,0.89092120404578767,0.96679809653297077
DENIZLI,698605,647355,647355,613195,277178,237699,72619,0,6474,,0.92663951732380956,0.94723142634257862
DIYARBAKIR,923544,760516,760516,720619,252065,8610,4677,397148,0,,0.82347565465207939,0.9475395652425459
DUZCE,98699,89452,89452,86311,47063,3419,32501,0,459,,0.90631110750868804,0.9648861959486652
EDIRNE,108439,96805,96805,93914,28127,34619,17199,0,1044,,0.89271387600402075,0.97013584009090437
ELAZIG,226063,195282,195282,188639,105316,13269,54966,4986,0,,0.86383884138492362,0.96598252783154614
ERZINCAN,60974,53891,53891,52370,28650,6393,15782,0,362,,0.88383573326335818,0.97177636340019669
ERZURUM,482761,416562,416562,402391,236835,6293,116444,25041,0,,0.86287417583441905,0.96598105444087556
ESKISEHIR,602227,546580,546580,524710,204906,237414,58746,0,3493,,0.90759796555119576,0.95998755900325661
GAZIANTEP,1091859,934813,934813,897889,490178,192800,106742,55664,0,,0.85616640976536351,0.96050119114732035
GIRESUN,72971,62910,62910,60616,23697,28087,7228,0,144,,0.86212330925984293,0.96353520902877121
GUMUSHANE,24364,21806,21806,21196,12193,755,7687,0,0,,0.8950090297159744,0.97202604787673119
HAKKARI,34641,28605,28605,26727,6967,382,624,17861,0,,0.82575560751710397,0.93434714210802305
HATAY,968336,864227,864227,838947,339187,343082,129346,0,11972,,0.89248669883181042,0.97074842605010025
IGDIR,50544,42604,42604,41222,4495,306,17467,18210,0,,0.84290914846470399,0.9675617312928364
ISPARTA,139553,126390,126390,121858,48695,12164,54254,0,716,,0.90567741288256076,0.96414273281114016
